SP	SP
꽛	gg wa T
꽜	gg wa T
꽝	gg wa NG
꽞	gg wa T
꽟	gg wa T
꽠	gg wa K
꽡	gg wa T
꽢	gg wa P
꽣	gg wa T
꽤	gg wae
꽥	gg wae K
꽦	gg wae K
꽧	gg wae K
꽨	gg wae N
꽩	gg wae N
꽪	gg wae N
꽫	gg wae T
꽬	gg wae L
꽭	gg wae L
꽮	gg wae L
꽯	gg wae L
꽰	gg wae L
꽱	gg wae L
꽲	gg wae L
꽳	gg wae L
꽴	gg wae M
꽵	gg wae P
꽶	gg wae P
꽷	gg wae T
꽸	gg wae T
꽹	gg wae NG
꽺	gg wae T
꽻	gg wae T
꽼	gg wae K
꽽	gg wae T
꽾	gg wae P
꽿	gg wae T
꾀	gg oe
꾁	gg oe K
꾂	gg oe K
꾃	gg oe K
꾄	gg oe N
꾅	gg oe N
꾆	gg oe N
꾇	gg oe T
꾈	gg oe L
꾉	gg oe L
꾊	gg oe L
꾋	gg oe L
꾌	gg oe L
꾍	gg oe L
꾎	gg oe L
꾏	gg oe L
꾐	gg oe M
꾑	gg oe P
꾒	gg oe P
꾓	gg oe T
꾔	gg oe T
꾕	gg oe NG
꾖	gg oe T
꾗	gg oe T
꾘	gg oe K
꾙	gg oe T
꾚	gg oe P
꾛	gg oe T
꾜	gg yo
꾝	gg yo K
꾞	gg yo K
꾟	gg yo K
꾠	gg yo N
꾡	gg yo N
꾢	gg yo N
꾣	gg yo T
꾤	gg yo L
꾥	gg yo L
꾦	gg yo L
꾧	gg yo L
꾨	gg yo L
꾩	gg yo L
꾪	gg yo L
꾫	gg yo L
꾬	gg yo M
꾭	gg yo P
꾮	gg yo P
꾯	gg yo T
꾰	gg yo T
꾱	gg yo NG
꾲	gg yo T
꾳	gg yo T
꾴	gg yo K
꾵	gg yo T
꾶	gg yo P
꾷	gg yo T
꾸	gg u
꾹	gg u K
꾺	gg u K
꾻	gg u K
꾼	gg u N
꾽	gg u N
꾾	gg u N
꾿	gg u T
꿀	gg u L
꿁	gg u L
꿂	gg u L
꿃	gg u L
꿄	gg u L
꿅	gg u L
꿆	gg u L
꿇	gg u L
꿈	gg u M
꿉	gg u P
꿊	gg u P
꿋	gg u T
꿌	gg u T
꿍	gg u NG
꿎	gg u T
꿏	gg u T
꿐	gg u K
꿑	gg u T
꿒	gg u P
꿓	gg u T
꿔	gg wo
꿕	gg wo K
꿖	gg wo K
꿗	gg wo K
꿘	gg wo N
꿙	gg wo N
꿚	gg wo N
꿛	gg wo T
꿜	gg wo L
꿝	gg wo L
꿞	gg wo L
꿟	gg wo L
